127.0.0.1 - - [25/Mar/2023:22:38:28 -0400] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Mar/2023:22:38:43 -0400] "GET /jsp-servlet-jdbc-mysql-crud-app/ HTTP/1.1" 200 2952
0:0:0:0:0:0:0:1 - - [25/Mar/2023:22:39:06 -0400] "GET /jsp-servlet-jdbc-mysql-crud-app/ HTTP/1.1" 200 2952
0:0:0:0:0:0:0:1 - - [25/Mar/2023:22:39:07 -0400] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Mar/2023:22:39:15 -0400] "GET /jsp-servlet-jdbc-mysql-crud-app/new HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [25/Mar/2023:22:39:52 -0400] "POST /jsp-servlet-jdbc-mysql-crud-app/insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Mar/2023:22:39:52 -0400] "GET /jsp-servlet-jdbc-mysql-crud-app/list HTTP/1.1" 200 3739
0:0:0:0:0:0:0:1 - - [25/Mar/2023:22:39:55 -0400] "GET /jsp-servlet-jdbc-mysql-crud-app/new HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [25/Mar/2023:22:40:21 -0400] "POST /jsp-servlet-jdbc-mysql-crud-app/insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Mar/2023:22:40:21 -0400] "GET /jsp-servlet-jdbc-mysql-crud-app/list HTTP/1.1" 200 4522
0:0:0:0:0:0:0:1 - - [25/Mar/2023:22:40:23 -0400] "GET /jsp-servlet-jdbc-mysql-crud-app/new HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [25/Mar/2023:22:41:03 -0400] "POST /jsp-servlet-jdbc-mysql-crud-app/insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Mar/2023:22:41:03 -0400] "GET /jsp-servlet-jdbc-mysql-crud-app/list HTTP/1.1" 200 5308
0:0:0:0:0:0:0:1 - - [25/Mar/2023:22:41:09 -0400] "GET /jsp-servlet-jdbc-mysql-crud-app/new HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [25/Mar/2023:22:42:04 -0400] "POST /jsp-servlet-jdbc-mysql-crud-app/insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Mar/2023:22:42:04 -0400] "GET /jsp-servlet-jdbc-mysql-crud-app/list HTTP/1.1" 200 6086
0:0:0:0:0:0:0:1 - - [25/Mar/2023:22:42:14 -0400] "GET /jsp-servlet-jdbc-mysql-crud-app/list HTTP/1.1" 200 6086
0:0:0:0:0:0:0:1 - - [25/Mar/2023:22:44:43 -0400] "GET /jsp-servlet-jdbc-mysql-crud-app/list HTTP/1.1" 200 6086
0:0:0:0:0:0:0:1 - - [25/Mar/2023:22:44:46 -0400] "GET /jsp-servlet-jdbc-mysql-crud-app/list HTTP/1.1" 200 6086
